Name,OVR,Position,Alternative positions,Height,Weight,Nation,League,Team
Michele Di Gregorio,85,GK,,187,82,Italy,Serie A,Juventus
Eric Dier,85,CB,,191,91,England,Bundesliga,FC Bayern München
Jérémy Doku,85,LW,"RW, LM",173,77,Belgium,Premier League,Manchester City
Éderson,85,CM,CAM,183,86,Brazil,Serie A,Bergamo Calcio
Wataru Endo,85,CDM,CM,178,77,Japan,Premier League,Liverpool
Pervis Estupiñán,85,LB,,175,79,Ecuador,Premier League,Brighton
Wladimiro Falcone,85,GK,,196,85,Italy,Serie A,Lecce
João Félix,85,LW,"ST, LM",181,70,Portugal,Premier League,Chelsea
Suso,85,RM,"CAM, CM, RW",177,70,Spain,LaLiga,Sevilla FC
Juan Foyth,85,RB,,187,83,Argentina,LaLiga,Villarreal CF
Javi Galán,85,LB,,172,70,Spain,LaLiga,Atlético de Madrid
Pepelu,85,CM,CDM,186,73,Spain,LaLiga,Valencia CF
Nuno Santos,85,LM,"LB, LW",177,72,Portugal,Liga Portugal,Sporting CP
Joe Gomez,85,CB,"RB, LB",188,77,England,Premier League,Liverpool
Nicolás González,85,RW,"RM, LW",180,72,Argentina,Serie A,Juventus
Mario Götze,85,CAM,"CM, ST",176,72,Germany,Bundesliga,Frankfurt
Vincenzo Grifo,85,LM,"CAM, LW",180,80,Italy,Bundesliga,SC Freiburg
Nemanja Gudelj,85,CB,CDM,187,79,Serbia,LaLiga,Sevilla FC
Albert Guðmundsson,85,ST,,178,78,Iceland,Serie A,Fiorentina
Mattéo Guendouzi,85,CM,CAM,185,68,France,Serie A,Lazio
Malo Gusto,85,RB,,178,67,France,Premier League,Chelsea
Miguel Gutiérrez,85,LB,LM,180,73,Spain,LaLiga,Girona FC
Amadou Haidara,85,CM,CDM,175,72,Mali,Bundesliga,RB Leipzig
Jordan Henderson,85,CDM,CM,187,80,England,Eredivisie,Ajax
Morten Hjulmand,85,CDM,CM,185,77,Denmark,Liga Portugal,Sporting CP
Pierre-Emile Højbjerg,85,CDM,CM,187,84,Denmark,Ligue 1,OM
Thomas Lemar,85,CM,LM,171,66,France,LaLiga,Atlético de Madrid
Dominik Livaković,85,GK,,188,79,Croatia,Trendyol Süper Lig,Fenerbahçe
Giovani Lo Celso,85,CAM,CM,177,68,Argentina,LaLiga,Real Betis
David López,85,CB,CDM,183,81,Spain,LaLiga,Girona FC
Harry Maguire,85,CB,,193,10,England,Premier League,Man Utd
Reinildo,85,LB,CB,180,73,Mozambique,LaLiga,Atlético de Madrid
Iván Martín,85,CAM,CM,178,70,Spain,LaLiga,Girona FC
Nemanja Matić,85,CDM,CM,194,85,Serbia,Ligue 1,Olympique Lyon
Bryan Mbeumo,85,RW,"ST, RM",171,75,Cameroon,Premier League,Brentford
Facundo Medina,85,CB,,184,77,Argentina,Ligue 1,RC Lens
Dries Mertens,85,CAM,ST,169,61,Belgium,Trendyol Süper Lig,Galatasaray
Daniel Muñoz,85,RB,,181,73,Colombia,Premier League,Crystal Palace
Vedat Muriqi,85,ST,,194,92,Kosovo,LaLiga,RCD Mallorca
João Mário,85,LM,"RM, CM, LW",179,73,Portugal,Liga Portugal,SL Benfica
Jesús Navas,85,RB,RM,172,60,Spain,LaLiga,Sevilla FC
David Neres,85,LM,"RM, CAM, LW",175,69,Brazil,Serie A,SSC Napoli
Alexander Nübel,85,GK,,193,86,Germany,Bundesliga,VfB Stuttgart
Mario Pašalić,85,CM,CAM,188,82,Croatia,Serie A,Bergamo Calcio
Vangelis Pavlidis,85,ST,,186,78,Greece,Liga Portugal,SL Benfica
Matteo Politano,85,RW,RM,171,65,Italy,Serie A,SSC Napoli
Ivan Rakitić,85,CM,CDM,184,78,Croatia,Liga Hrvatska,Hajduk Split
Amir Rrahmani,85,CB,,192,75,Kosovo,Serie A,SSC Napoli
Ruiz de Galarreta,85,CDM,CM,175,69,Spain,LaLiga,Athletic Club
Allan Saint-Maximin,85,LM,LW,173,67,France,Trendyol Süper Lig,Fenerbahçe
Davinson Sánchez,85,CB,,187,81,Colombia,Trendyol Süper Lig,Galatasaray
Diego Carlos,85,CB,,186,79,Brazil,Premier League,Aston Villa
Téji Savanier,85,CAM,CM,172,69,France,Ligue 1,Montpellier
Kasper Schmeichel,85,GK,,189,88,Denmark,Scottish Prem,Celtic
William Carvalho,85,CDM,CAM,187,79,Portugal,LaLiga,Real Betis
Sebastian Szymański,85,CAM,RM,174,60,Poland,Trendyol Süper Lig,Fenerbahçe
Mehdi Taremi,85,ST,,185,83,Iran,Serie A,Inter Milan
James Tarkowski,85,CB,,188,81,England,Premier League,Everton
Jean-Clair Todibo,85,CB,,190,88,France,Premier League,West Ham United
Ivan Toney,85,ST,,187,76,England,Premier League,Brentford
Ferran Torres,85,LW,"RW, ST, LM",184,77,Spain,LaLiga,FC Barcelona
Hamari Traoré,85,RB,,175,64,Mali,LaLiga,Real Sociedad
Lars Unnerstall,85,GK,,198,10,Germany,Eredivisie,FC Twente
André Silva,85,ST,,185,84,Portugal,Bundesliga,RB Leipzig
Jordan Veretout,85,CM,CDM,177,67,France,Ligue 1,OM
Timo Werner,85,LM,"ST, LW",180,76,Germany,Premier League,Tottenham Hotspur
Mats Wieffer,85,CDM,CM,188,78,Holland,Premier League,Brighton
Axel Witsel,85,CB,,186,81,Belgium,LaLiga,Atlético de Madrid
Barış Alper Yılmaz,85,RM,"LM, LB, RW",186,80,Turkey,Trendyol Süper Lig,Galatasaray
Warren Zaïre-Emery,85,CM,CDM,178,68,France,Ligue 1,Paris SG
André-Franck Zambo Anguissa,85,CDM,CM,184,83,Cameroon,Serie A,SSC Napoli
Hakim Ziyech,85,RM,"CAM, RW",181,65,Morocco,Trendyol Süper Lig,Galatasaray
Zubeldia,85,CB,,181,73,Spain,LaLiga,Real Sociedad
Karim Adeyemi,84,LM,"RM, ST, LW",180,77,Germany,Bundesliga,Borussia Dortmund
Nayef Aguerd,84,CB,,190,76,Morocco,LaLiga,Real Sociedad
Rayan Aït-Nouri,84,LB,LM,180,70,Algeria,Premier League,Wolves
Raúl Albiol,84,CB,,190,82,Spain,LaLiga,Villarreal CF
Kepa,84,GK,,189,85,Spain,Premier League,AFC Bournemouth
Emil Audero,84,GK,,192,83,Italy,Serie A,Como
Ezequiel Ávila,84,ST,"RM, LM",172,81,Argentina,LaLiga,Real Betis
Azpilicueta,84,CB,RB,178,77,Spain,LaLiga,Atlético de Madrid
Álex Baena,84,LM,"ST, LW",174,69,Spain,LaLiga,Villarreal CF
Alexander Bah,84,RB,,183,75,Denmark,Liga Portugal,SL Benfica
Johan Bakayoko,84,RW,RM,179,70,Belgium,Eredivisie,PSV Eindhoven
Leonardo Balerdi,84,CB,,187,85,Argentina,Ligue 1,OM
Abdülkerim Bardakcı,84,CB,LB,185,80,Turkey,Trendyol Süper Lig,Galatasaray
Yuri Berchiche,84,LB,,181,80,Spain,LaLiga,Athletic Club
Steven Berghuis,84,RW,"CAM, RM",182,75,Holland,Eredivisie,Ajax
Cristiano Biraghi,84,LB,,185,78,Italy,Serie A,Fiorentina
Marco Bizot,84,GK,,193,88,Holland,Ligue 1,Stade Brestois 29
Sacha Boey,84,RB,,178,76,France,Bundesliga,FC Bayern München
Jarrad Branthwaite,84,CB,,195,74,England,Premier League,Everton
Brian Brobbey,84,ST,,180,78,Holland,Eredivisie,Ajax
Marcin Bułka,84,GK,,199,90,Poland,Ligue 1,OGC Nice
Matheus Cunha,84,ST,CAM,183,76,Brazil,Premier League,Wolves
Matty Cash,84,RB,RM,185,74,Poland,Premier League,Aston Villa
Valentin Castellanos,84,ST,,178,70,Argentina,Serie A,Lazio
Catena,84,CB,,194,82,Spain,LaLiga,CA Osasuna
Dani Ceballos,84,CM,CAM,179,70,Spain,LaLiga,Real Madrid
Ben Chilwell,84,LB,,181,77,England,Premier League,Chelsea
Jordy Clasie,84,CDM,CM,170,68,Holland,Eredivisie,AZ
Dante,84,CB,,188,89,Brazil,Ligue 1,OGC Nice
Charles De Ketelaere,84,CAM,ST,192,79,Belgium,Serie A,Bergamo Calcio
Marten de Roon,84,CM,"CDM, CB",185,76,Holland,Serie A,Bergamo Calcio
Romain Del Castillo,84,RW,RM,172,65,France,Ligue 1,Stade Brestois 29
Ermedin Demirović,84,ST,LM,185,84,Bosnia and Herzegovina,Bundesliga,VfB Stuttgart
Sergiño Dest,84,LB,RB,173,68,United States,Eredivisie,PSV Eindhoven
Boulaye Dia,84,ST,,180,75,Senegal,Serie A,Lazio
Samuel Lino,84,LM,"LB, LW",170,69,Brazil,LaLiga,Atlético de Madrid
Lucas Digne,84,LB,,178,74,France,Premier League,Aston Villa
Stole Dimitrievski,84,GK,,188,84,North Macedonia,LaLiga,Valencia CF
Axel Disasi,84,CB,RB,190,86,France,Premier League,Chelsea
Alexander Djiku,84,CB,,182,81,Ghana,Trendyol Süper Lig,Fenerbahçe
Cheick Doucouré,84,CDM,CM,180,73,Mali,Premier League,Crystal Palace
Lewis Dunk,84,CB,,192,88,England,Premier League,Brighton
Hugo Duro,84,ST,,177,70,Spain,LaLiga,Valencia CF
Marcus Edwards,84,RW,"LW, ST, RM",168,65,England,Liga Portugal,Sporting CP
Stephan El Shaarawy,84,LM,"LW, CAM",178,73,Italy,Serie A,AS Roma
Eljif Elmas,84,CAM,"CM, LW",184,78,North Macedonia,Bundesliga,RB Leipzig
Aritz Elustondo,84,RB,CB,180,71,Spain,LaLiga,Real Sociedad
Lewis Ferguson,84,CM,CAM,181,75,Scotland,Serie A,Bologna
Mark Flekken,84,GK,,195,87,Holland,Premier League,Brentford
Emil Forsberg,84,CAM,LM,177,76,Sweden,MLS,Red Bulls
Chris Führich,84,LM,"LW, CAM",181,70,Germany,Bundesliga,VfB Stuttgart
Álvaro García,84,LM,"CAM, LW",167,61,Spain,LaLiga,Rayo Vallecano
Alejandro Garnacho,84,LM,"RM, LW",180,72,Argentina,Premier League,Man Utd
Lutsharel Geertruida,84,CB,RB,185,70,Holland,Bundesliga,RB Leipzig
Morgan Gibbs-White,84,CAM,RM,179,72,England,Premier League,Nott'm Forest
Carles Gil,84,CAM,RM,170,65,Spain,MLS,New England
Santiago Giménez,84,ST,,182,69,Mexico,Eredivisie,Feyenoord
Moi Gómez,84,CM,"LM, RM",176,73,Spain,LaLiga,CA Osasuna
João Neves,84,CM,CDM,174,66,Portugal,Ligue 1,Paris SG
Robin Gosens,84,LB,LM,183,76,Germany,Serie A,Fiorentina
Mason Greenwood,84,RM,"ST, LM, RW",181,70,England,Ligue 1,OM
Guruzeta,84,ST,,188,80,Spain,LaLiga,Athletic Club
Sébastien Haller,84,ST,,191,90,Côte d'Ivoire,LaLiga,CD Leganés
Dean Henderson,84,GK,,188,85,England,Premier League,Crystal Palace
Franck Honorat,84,RM,RW,180,70,France,Bundesliga,M'gladbach
Hiroki Ito,84,CB,LB,188,84,Japan,Bundesliga,FC Bayern München
Nicolas Jackson,84,ST,,187,78,Senegal,Premier League,Chelsea
Curtis Jones,84,CM,CAM,185,75,England,Premier League,Liverpool
Luka Jović,84,ST,,181,85,Serbia,Serie A,AC Milan
İrfan Can Kahveci,84,RW,"CAM, CM, RM",176,75,Turkey,Trendyol Süper Lig,Fenerbahçe
Lukas Klostermann,84,CB,RB,187,88,Germany,Bundesliga,RB Leipzig
Robin Koch,84,CB,,191,85,Germany,Bundesliga,Frankfurt
Sead Kolašinac,84,CB,LB,183,85,Bosnia and Herzegovina,Serie A,Bergamo Calcio
Geoffrey Kondogbia,84,CM,CDM,188,76,Central African Republic,Ligue 1,OM
Erik Lamela,84,RW,"CAM, RM",184,75,Argentina,Hellas Liga,AEK Athens
Noa Lang,84,LW,"CAM, LM",179,69,Holland,Eredivisie,PSV Eindhoven
Manuel Lazzari,84,RB,,174,67,Italy,Serie A,Lazio
Lee Kang In,84,CAM,"CM, RW",173,66,Korea Republic,Ligue 1,Paris SG
Pierre Lees-Melou,84,CDM,CM,186,70,France,Ligue 1,Stade Brestois 29
Mario Lemina,84,CDM,CM,184,85,Gabon,Premier League,Wolves
Jefferson Lerma,84,CDM,"CM, CB",179,70,Colombia,Premier League,Crystal Palace
Philipp Lienhart,84,CB,,189,85,Austria,Bundesliga,SC Freiburg
Matheus,84,GK,,190,84,Brazil,Liga Portugal,SC Braga
Hugo Lloris,84,GK,,188,82,France,MLS,LAFC
Pedro Neto,84,RW,"LW, ST, RM",172,62,Portugal,Premier League,Chelsea
Anthony Lopes,84,GK,,184,81,Portugal,Ligue 1,Olympique Lyon
Pau López,84,GK,,189,77,Spain,LaLiga,Girona FC
Castello Lukeba,84,CB,,184,73,France,Bundesliga,RB Leipzig
Dodi Lukébakio,84,RW,"ST, LW, RM",187,77,Belgium,LaLiga,Sevilla FC
Robert Sánchez,84,GK,,197,90,Spain,Premier League,Chelsea
Ian Maatsen,84,LB,,178,63,Holland,Premier League,Aston Villa
Pablo Maffeo,84,RB,LB,172,70,Argentina,LaLiga,RCD Mallorca
José Sá,84,GK,,192,84,Portugal,Premier League,Wolves
Omar Marmoush,84,ST,LW,183,81,Egypt,Bundesliga,Frankfurt
Arnau Martínez,84,RB,CB,182,72,Spain,LaLiga,Girona FC
Adam Marušić,84,LB,RB,185,81,Montenegro,Serie A,Lazio
Jean-Philippe Mateta,84,ST,,192,88,France,Premier League,Crystal Palace
Borja Mayoral,84,ST,,182,74,Spain,LaLiga,Getafe CF
Chancel Mbemba,84,CB,,182,81,Congo DR,Ligue 1,OM
Callum McGregor,84,CDM,CM,178,74,Scotland,Scottish Prem,Celtic
Nikola Milenković,84,CB,,195,90,Serbia,Premier League,Nott'm Forest
Takumi Minamino,84,CAM,"RM, LM",172,67,Japan,Ligue 1,AS Monaco
Tyrone Mings,84,CB,,196,77,England,Premier League,Aston Villa
Maximilian Mittelstädt,84,LB,LM,180,71,Germany,Bundesliga,VfB Stuttgart
Álex Moreno,84,LB,,179,68,Spain,Premier League,Nott'm Forest
Hidemasa Morita,84,CM,CDM,177,69,Japan,Liga Portugal,Sporting CP
Florentino,84,CDM,CM,184,76,Portugal,Liga Portugal,SL Benfica
Hany Mukhtar,84,CAM,ST,173,71,Germany,MLS,Nashville SC
Nordi Mukiele,84,RB,CB,187,84,France,Bundesliga,Bayer Leverkusen
Juan Musso,84,GK,,191,93,Argentina,LaLiga,Atlético de Madrid
Galeno,84,LM,LW,179,62,Brazil,Liga Portugal,FC Porto
Matt O'Riley,84,CM,"CAM, CDM",188,77,Denmark,Premier League,Brighton
Jonas Omlin,84,GK,,190,85,Switzerland,Bundesliga,M'gladbach
Ayoze Pérez,84,LM,"RM, CAM, LW",178,72,Spain,LaLiga,Villarreal CF
Mattia Perin,84,GK,,188,77,Italy,Serie A,Juventus
Matteo Pessina,84,CM,"CDM, CAM",187,77,Italy,Serie A,Monza
Đorđe Petrović,84,GK,,194,88,Serbia,Ligue 1,Strasbourg
Ethan Pinnock,84,CB,,194,79,Jamaica,Premier League,Brentford
Yeremy Pino,84,LM,"LW, RM",172,60,Spain,LaLiga,Villarreal CF
Gonçalo Ramos,84,ST,,185,82,Portugal,Ligue 1,Paris SG
Antonee Robinson,84,LB,,182,70,United States,Premier League,Fulham
Oriol Romeu,84,CDM,CM,183,83,Spain,LaLiga,Girona FC
Valentin Rongier,84,CDM,CM,172,67,France,Ligue 1,OM
Frederik Rønnow,84,GK,,188,81,Denmark,Bundesliga,Union Berlin
Gerónimo Rulli,84,GK,,189,84,Argentina,Ligue 1,OM
Julian Ryerson,84,RB,LB,183,82,Norway,Bundesliga,Borussia Dortmund
Pape Matar Sarr,84,CDM,CM,184,70,Senegal,Premier League,Tottenham Hotspur
Gianluca Scamacca,84,ST,,195,85,Italy,Serie A,Bergamo Calcio
Perr Schuurs,84,CB,,191,85,Holland,Serie A,Torino
Benjamin Šeško,84,ST,,195,85,Slovenia,Bundesliga,RB Leipzig
Mário Rui,84,LB,,170,67,Portugal,Serie A,SSC Napoli
Wilfried Singo,84,CB,RB,190,79,Côte d'Ivoire,Ligue 1,AS Monaco
Łukasz Skorupski,84,GK,,188,90,Poland,Serie A,Bologna
Tomáš Souček,84,CDM,CM,192,86,Czech Republic,Premier League,West Ham United
Leonardo Spinazzola,84,LM,"LB, LW",186,75,Italy,Serie A,SSC Napoli
António Silva,84,CB,,187,82,Portugal,Liga Portugal,SL Benfica
Pietro Terracciano,84,GK,,193,78,Italy,Serie A,Fiorentina
Martin Terrier,84,ST,LM,184,71,France,Bundesliga,Bayer Leverkusen
Kieran Tierney,84,LB,,180,73,Scotland,Premier League,Arsenal
Quinten Timber,84,CM,"CAM, CDM",179,71,Holland,Eredivisie,Feyenoord
Jurriën Timber,84,CB,,179,78,Holland,Premier League,Arsenal
Rafael Tolói,84,CB,,185,75,Italy,Serie A,Bergamo Calcio
Edin Višća,84,RM,RW,172,63,Bosnia and Herzegovina,Trendyol Süper Lig,Trabzonspor
Nikola Vlašić,84,CAM,"RW, LW",179,79,Croatia,Serie A,Torino
Aaron Wan-Bissaka,84,RB,,183,72,England,Premier League,West Ham United
James Ward-Prowse,84,CM,"CDM, CAM",173,66,England,Premier League,Nott'm Forest
Julian Weigl,84,CDM,CM,186,77,Germany,Bundesliga,M'gladbach
Yoane Wissa,84,LW,"ST, LM",176,74,Congo DR,Premier League,Brentford
Denis Zakaria,84,CDM,CM,190,81,Switzerland,Ligue 1,AS Monaco
Davide Zappacosta,84,LB,"LM, RM",182,75,Italy,Serie A,Bergamo Calcio
Edon Zhegrova,84,RM,RW,181,66,Kosovo,Ligue 1,LOSC Lille
Oleksandr Zinchenko,84,LB,,175,64,Ukraine,Premier League,Arsenal
Joshua Zirkzee,84,ST,,193,89,Holland,Premier League,Man Utd
Carlos Augusto,84,LM,"LB, LW",184,75,Brazil,Serie A,Inter Milan
Saud Abdulhamid,83,RB,,175,70,Saudi Arabia,Serie A,AS Roma
Tammy Abraham,83,ST,,195,86,England,Serie A,AC Milan
Tosin Adarabioyo,83,CB,,196,80,England,Premier League,Chelsea
Amine Adli,83,ST,"LM, CAM",174,72,Morocco,Bundesliga,Bayer Leverkusen
Joseph Aidoo,83,CB,,181,80,Ghana,LaLiga,RC Celta
Miguel Almirón,83,RW,RM,174,70,Paraguay,Premier League,Newcastle United
Nadiem Amiri,83,CM,CAM,180,75,Germany,Bundesliga,1. FSV Mainz 05
Sofyan Amrabat,83,CDM,CM,183,77,Morocco,Trendyol Süper Lig,Fenerbahçe
Michail Antonio,83,ST,,180,82,Jamaica,Premier League,West Ham United
Mauro Arambarri,83,CDM,CM,175,74,Uruguay,LaLiga,Getafe CF
Cristian Arango,83,ST,CAM,178,78,Colombia,MLS,Real Salt Lake
Benoît Badiashile,83,CB,,194,75,France,Premier League,Chelsea
Antonín Barák,83,CM,CAM,190,86,Czech Republic,Serie A,Fiorentina
Ricardo Pereira,83,RB,,175,70,Portugal,Premier League,Leicester City
Melvin Bard,83,LB,LM,173,65,France,Ligue 1,OGC Nice
Ross Barkley,83,CM,CAM,186,76,England,Premier League,Aston Villa
Marc Bartra,83,CB,,184,73,Spain,LaLiga,Real Betis
Maximilian Beier,83,ST,LW,185,72,Germany,Bundesliga,Borussia Dortmund
Andrea Belotti,83,ST,,181,84,Italy,Serie A,Como
Fran Beltrán,83,CDM,CM,165,64,Spain,LaLiga,RC Celta
Saïd Benrahma,83,LW,LM,172,67,Algeria,Ligue 1,Olympique Lyon
Ramy Bensebaini,83,LB,CB,187,82,Algeria,Bundesliga,Borussia Dortmund
Nabil Bentaleb,83,CDM,CM,187,78,Algeria,Ligue 1,LOSC Lille
Mergim Berisha,83,ST,,188,84,Germany,Bundesliga,TSG Hoffenheim
Jan-Niklas Beste,83,LM,"RM, LB, LW",175,66,Germany,Liga Portugal,SL Benfica
Veljko Birmančević,83,RW,"LW, RM",179,69,Serbia,Česká Liga,Sparta Praha
Olivier Boscagli,83,CB,,181,68,France,Eredivisie,PSV Eindhoven
Lilian Brassier,83,CB,,186,78,France,Ligue 1,OM
Ante Budimir,83,ST,,190,75,Croatia,LaLiga,CA Osasuna
Emiliano Buendía,83,RM,"CAM, RW",172,72,Argentina,Premier League,Aston Villa
Roman Bürki,83,GK,,187,85,Switzerland,MLS,St. Louis CITY SC
Dan Burn,83,CB,LB,198,87,England,Premier League,Newcastle United
Nélson Semedo,83,RB,,177,69,Portugal,Premier League,Wolves
Riccardo Calafiori,83,CB,LB,188,86,Italy,Premier League,Arsenal
Maxence Caqueret,83,CM,CDM,174,63,France,Ligue 1,Olympique Lyon
Trevoh Chalobah,83,CB,RB,192,75,England,Premier League,Crystal Palace
Andrea Colpani,83,CAM,RM,184,75,Italy,Serie A,Fiorentina
Murillo,83,CB,,180,75,Brazil,Premier League,Nott'm Forest
Vladimír Coufal,83,RB,,175,76,Czech Republic,Premier League,West Ham United
Kerem Demirbay,83,CM,"CDM, CAM",183,75,Germany,Trendyol Süper Lig,Galatasaray
Kiernan Dewsbury-Hall,83,CM,"CAM, CDM",178,70,England,Premier League,Chelsea
Ousmane Diomande,83,CB,,190,86,Côte d'Ivoire,Liga Portugal,Sporting CP
Berat Djimsiti,83,CB,,190,83,Albania,Serie A,Bergamo Calcio
Marko Dmitrović,83,GK,,194,91,Serbia,LaLiga,CD Leganés
Ritsu Doan,83,RM,"CAM, ST, RW",172,74,Japan,Bundesliga,SC Freiburg
Danilho Doekhi,83,CB,,190,86,Holland,Bundesliga,Union Berlin
Oscar Dorley,83,CDM,CM,174,66,Liberia,Česká Liga,Slavia Praha
Ayoub El Kaabi,83,ST,RM,182,76,Morocco,Hellas Liga,Olympiacos FC
Harvey Elliott,83,CAM,"CM, RW",168,64,England,Premier League,Liverpool
Christian Eriksen,83,CM,CDM,182,76,Denmark,Premier League,Man Utd
Alfonso Espino,83,LB,,172,71,Uruguay,LaLiga,Rayo Vallecano
Lucas Perri,83,GK,,197,98,Brazil,Ligue 1,Olympique Lyon
Francisco Conceição,83,RM,RW,168,61,Portugal,Serie A,Juventus
Wesley Fofana,83,CB,,190,84,France,Premier League,Chelsea
Przemysław Frankowski,83,RB,"LB, RM",175,70,Poland,Ligue 1,RC Lens
Levi García,83,ST,,182,86,Trinidad and Tobago,Hellas Liga,AEK Athens
Eric García,83,CB,"CDM, RB",182,76,Spain,LaLiga,FC Barcelona
Rubén García,83,RM,"LM, RW",172,71,Spain,LaLiga,CA Osasuna
Fran García,83,LB,,169,63,Spain,LaLiga,Real Madrid
Federico Gatti,83,CB,,190,80,Italy,Serie A,Juventus
Ryan Gauld,83,LW,"ST, RW, LM",169,62,Scotland,MLS,Whitecaps FC
João Gomes,83,CDM,CM,176,74,Brazil,Premier League,Wolves
Campaña,83,CM,LM,179,70,Spain,LaLiga,UD Las Palmas
Ismaily,83,LB,,177,82,Brazil,Ligue 1,LOSC Lille
Amine Gouiri,83,LM,"ST, LW",181,80,Algeria,Ligue 1,Stade Rennais FC
Jonathan Gradit,83,CB,,180,75,France,Ligue 1,RC Lens
Ryan Gravenberch,83,CM,CDM,190,77,Holland,Premier League,Liverpool
Michael Gregoritsch,83,ST,,193,91,Austria,Bundesliga,SC Freiburg
Guaita,83,GK,,190,80,Spain,LaLiga,RC Celta
Arda Güler,83,CAM,RM,175,70,Turkey,LaLiga,Real Madrid
Christian Günter,83,LB,LM,184,83,Germany,Bundesliga,SC Freiburg
Lukáš Haraslín,83,LW,"RW, LM",182,71,Slovakia,Česká Liga,Sparta Praha
Cucho Hernández,83,ST,,176,73,Colombia,MLS,Columbus Crew
Héctor Herrera,83,CM,CDM,185,78,Mexico,MLS,Houston Dynamo
Ander Herrera,83,CM,CDM,182,71,Spain,LaLiga,Athletic Club
Sergio Herrera,83,GK,,192,82,Spain,LaLiga,CA Osasuna
Isak Hien,83,CB,,191,90,Sweden,Serie A,Bergamo Calcio
Andreas Pereira,83,CAM,CM,177,70,Brazil,Premier League,Fulham
Rasmus Højlund,83,ST,,191,79,Denmark,Premier League,Man Utd
Hwang Hee Chan,83,ST,"LW, RW",177,77,Korea Republic,Premier League,Wolves
Borja Iglesias,83,ST,,187,86,Spain,LaLiga,RC Celta
Lorenzo Insigne,83,LW,"CAM, LM",163,59,Italy,MLS,Toronto FC
Junya Ito,83,RM,"RW, ST",176,66,Japan,Ligue 1,Stade de Reims
Juanmi,83,LM,"ST, CAM, LW",172,69,Spain,LaLiga,Real Betis
Brennan Johnson,83,RM,"ST, RW",186,73,Wales,Premier League,Tottenham Hotspur
Sam Johnstone,83,GK,,193,85,England,Premier League,Wolves
Joan Jordán,83,CM,CDM,184,74,Spain,LaLiga,D. Alavés
Pierre Kalulu,83,CB,RB,182,80,France,Serie A,Juventus
Kevin Kampl,83,CM,CDM,178,66,Slovenia,Bundesliga,RB Leipzig
Rick Karsdorp,83,RB,RM,184,80,Holland,Eredivisie,PSV Eindhoven
Moise Kean,83,ST,,183,72,Italy,Serie A,Fiorentina
Gaëtan Laborde,83,RW,"ST, RM",181,78,France,Ligue 1,OGC Nice
Victor Lindelöf,83,CB,LB,187,80,Sweden,Premier League,Man Utd
Tino Livramento,83,RB,LB,181,71,England,Premier League,Newcastle United
Hirving Lozano,83,RW,"LW, RM",175,70,Mexico,Eredivisie,PSV Eindhoven
Matheus Nunes,83,CM,LM,183,76,Portugal,Premier League,Manchester City
Noni Madueke,83,RM,RW,182,75,England,Premier League,Chelsea
Joakim Mæhle,83,RB,"LB, RM",185,79,Denmark,Bundesliga,VfL Wolfsburg
Lovro Majer,83,CM,CAM,178,76,Croatia,Bundesliga,VfL Wolfsburg
Nemanja Maksimović,83,CM,CDM,189,78,Serbia,Hellas Liga,Panathinaikos
Steve Mandanda,83,GK,,187,86,France,Ligue 1,Stade Rennais FC
Solly March,83,RM,"LM, RW",180,77,England,Premier League,Brighton
Konstantinos Mavropanos,83,CB,,194,89,Greece,Premier League,West Ham United
Weston McKennie,83,CM,CDM,180,86,United States,Serie A,Juventus
Scott McTominay,83,CDM,CM,193,88,Scotland,Serie A,SSC Napoli
Ben Mee,83,CB,,180,82,England,Premier League,Brentford
Arthur Cabral,83,ST,,186,82,Brazil,Liga Portugal,SL Benfica
Moncayola,83,CM,"CDM, RB",182,78,Spain,LaLiga,CA Osasuna
Mason Mount,83,CM,CAM,181,74,England,Premier League,Man Utd
Neto,83,GK,,190,83,Brazil,Premier League,Arsenal
Luis Muriel,83,ST,,179,79,Colombia,MLS,Orlando City
Rodrigo Becão,83,CB,,191,79,Brazil,Trendyol Süper Lig,Fenerbahçe
Marcão,83,CB,,185,80,Brazil,LaLiga,Sevilla FC
Wilfred Ndidi,83,CDM,CM,183,74,Nigeria,Premier League,Leicester City
Victor Nelsson,83,CB,,185,78,Denmark,Trendyol Süper Lig,Galatasaray
Saúl,83,CM,LM,184,75,Spain,LaLiga,Sevilla FC
M'Bala Nzola,83,ST,,185,82,Angola,Ligue 1,RC Lens
Noah Okafor,83,ST,"LW, CAM",185,85,Switzerland,Serie A,AC Milan
Caio Henrique,83,LB,LM,178,70,Brazil,Ligue 1,AS Monaco
Amadou Onana,83,CDM,CM,192,76,Belgium,Premier League,Aston Villa
Alex Oxlade-Chamberlain,83,CM,CAM,175,70,England,Trendyol Süper Lig,Beşiktaş
Willian Pacho,83,CB,,186,81,Ecuador,Ligue 1,Paris SG
Emerson,83,LB,,176,79,Italy,Premier League,West Ham United
Leandro Paredes,83,CM,CDM,180,75,Argentina,Serie A,AS Roma
Pedraza,83,LB,,184,73,Spain,LaLiga,Villarreal CF
Nicolas Pépé,83,RM,"RW, ST",183,73,Côte d'Ivoire,LaLiga,Villarreal CF
Roberto Pereyra,83,CM,CAM,182,76,Argentina,Hellas Liga,AEK Athens
Stefan Posch,83,RB,,190,82,Austria,Serie A,Bologna
Riqui Puig,83,CM,CAM,169,56,Spain,MLS,LA Galaxy
