Name,OVR,Position,Alternative positions,Height,Weight,Nation,League,Team
Willi Orban,88,CB,,186,87,Hungary,Bundesliga,RB Leipzig
Gavi,88,CM,LW,173,70,Spain,LaLiga,FC Barcelona
Parejo,88,CM,CDM,182,74,Spain,LaLiga,Villarreal CF
Lorenzo Pellegrini,88,CAM,CM,186,77,Italy,Serie A,AS Roma
Pedro Gonçalves,88,LW,"CAM, CM, LM",173,77,Portugal,Liga Portugal,Sporting CP
Jordan Pickford,88,GK,,185,77,England,Premier League,Everton
Nick Pope,88,GK,,199,76,England,Premier League,Newcastle United
Pedro Porro,88,RB,,173,69,Spain,Premier League,Tottenham Hotspur
Ivan Provedel,88,GK,,192,84,Italy,Serie A,Lazio
Christian Pulisic,88,RW,"RM, LW",177,69,United States,Serie A,AC Milan
David Raya,88,GK,,183,75,Spain,Premier League,Arsenal
Koke,88,CDM,CM,176,75,Spain,LaLiga,Atlético de Madrid
Guido Rodríguez,88,CDM,CM,185,80,Argentina,Premier League,West Ham United
Alessio Romagnoli,88,CB,,185,75,Italy,Serie A,Lazio
Xavi Simons,88,CAM,LW,179,61,Holland,Bundesliga,RB Leipzig
Douglas Luiz,88,CM,CDM,175,66,Brazil,Serie A,Juventus
Dušan Tadić,88,LM,LW,181,76,Serbia,Trendyol Süper Lig,Fenerbahçe
Edmond Tapsoba,88,CB,,192,84,Burkina Faso,Bundesliga,Bayer Leverkusen
Wojciech Szczęsny,90,GK,,195,90,Poland,LaLiga,FC Barcelona
Nuno Mendes,88,LB,,180,70,Portugal,Ligue 1,Paris SG
Marcus Thuram,88,ST,,192,80,France,Serie A,Inter Milan
Fikayo Tomori,88,CB,,185,79,England,Serie A,AC Milan
Lucas Torreira,88,CDM,CM,166,60,Uruguay,Trendyol Süper Lig,Galatasaray
Kieran Trippier,88,RB,,173,71,England,Premier League,Newcastle United
Leandro Trossard,88,LW,"ST, LM",171,67,Belgium,Premier League,Arsenal
Viktor Tsygankov,88,RM,"CM, CAM, RW",178,72,Ukraine,LaLiga,Girona FC
